"state","scenario","year_offset","removed_cum_Tg"
"MI","managed (intensive)",100,193.901
"MN","managed (intensive)",0,0
"MN","managed (intensive)",10,25.07
"MN","managed (intensive)",20,42.799
"MN","managed (intensive)",30,59.791
"MN","managed (intensive)",40,72.235
"MN","managed (intensive)",50,85.159
"MN","managed (intensive)",60,93.283
"MN","managed (intensive)",70,101.319
"MN","managed (intensive)",80,108.598
"MN","managed (intensive)",90,115.512
"MN","managed (intensive)",100,122.176
"MO","managed (intensive)",0,0
"MO","managed (intensive)",10,50.275
"MO","managed (intensive)",20,80.017
"MO","managed (intensive)",30,109.01
"MO","managed (intensive)",40,130.021
"MO","managed (intensive)",50,146.929
"MO","managed (intensive)",60,159.777
"MO","managed (intensive)",70,170.227
"MO","managed (intensive)",80,179.854
"MO","managed (intensive)",90,184.581
"MO","managed (intensive)",100,189.668
"MS","managed (intensive)",0,0
"MS","managed (intensive)",10,52.186
"MS","managed (intensive)",20,89.345
"MS","managed (intensive)",30,121.349
"MS","managed (intensive)",40,161.988
"MS","managed (intensive)",50,191.184
"MS","managed (intensive)",60,216.471
"MS","managed (intensive)",70,237.202
"MS","managed (intensive)",80,251.911
"MS","managed (intensive)",90,265.942
"MS","managed (intensive)",100,275.889
"MT","managed (intensive)",0,0
"MT","managed (intensive)",10,21.836
"MT","managed (intensive)",20,45.285
"MT","managed (intensive)",30,62.569
"MT","managed (intensive)",40,81.326
"MT","managed (intensive)",50,95.246
"MT","managed (intensive)",60,109.757
"MT","managed (intensive)",70,120.529
"MT","managed (intensive)",80,133.097
"MT","managed (intensive)",90,141.686
"MT","managed (intensive)",100,151.5
"NC","managed (intensive)",0,0
"NC","managed (intensive)",10,49.04
"NC","managed (intensive)",20,86.432
"NC","managed (intensive)",30,117.036
"NC","managed (intensive)",40,151.122
"NC","managed (intensive)",50,170.667
"NC","managed (intensive)",60,187.052
"NC","managed (intensive)",70,207.357
"NC","managed (intensive)",80,220.755
"NC","managed (intensive)",90,231.328
"NC","managed (intensive)",100,239.643
"ND","managed (intensive)",0,0
"ND","managed (intensive)",10,0.66
"ND","managed (intensive)",20,1.078
"ND","managed (intensive)",30,1.78
"ND","managed (intensive)",40,2.109
"ND","managed (intensive)",50,2.601
"ND","managed (intensive)",60,2.744
"ND","managed (intensive)",70,3.067
"ND","managed (intensive)",80,3.202
"ND","managed (intensive)",90,3.394
"ND","managed (intensive)",100,3.477
"NE","managed (intensive)",0,0
"NE","managed (intensive)",10,1.321
"NE","managed (intensive)",20,1.857
"NE","managed (intensive)",30,2.766
"NE","managed (intensive)",40,2.966
"NE","managed (intensive)",50,3.162
"NE","managed (intensive)",60,3.6
"NE","managed (intensive)",70,3.772
"NE","managed (intensive)",80,3.889
"NE","managed (intensive)",90,4.034
"NE","managed (intensive)",100,4.246
"NH","managed (intensive)",0,0
"NH","managed (intensive)",10,12.943
"NH","managed (intensive)",20,22.077
"NH","managed (intensive)",30,32.319
"NH","managed (intensive)",40,39.993
"NH","managed (intensive)",50,44.592
"NH","managed (intensive)",60,48.464
"NH","managed (intensive)",70,51.936
"NH","managed (intensive)",80,54.726
"NH","managed (intensive)",90,56.231
"NH","managed (intensive)",100,57.42
"NJ","managed (intensive)",0,0
"NJ","managed (intensive)",10,5.149
"NJ","managed (intensive)",20,8.294
"NJ","managed (intensive)",30,11.392
"NJ","managed (intensive)",40,12.877
"NJ","managed (intensive)",50,14.777
"NJ","managed (intensive)",60,16.393
"NJ","managed (intensive)",70,17.999
"NJ","managed (intensive)",80,18.323
"NJ","managed (intensive)",90,19.521
"NJ","managed (intensive)",100,19.841
"NM","managed (intensive)",0,0
"NM","managed (intensive)",10,9.751
"NM","managed (intensive)",20,18.584
"NM","managed (intensive)",30,25.422
"NM","managed (intensive)",40,31.618
"NM","managed (intensive)",50,35.883
"NM","managed (intensive)",60,41.231
"NM","managed (intensive)",70,45.129
"NM","managed (intensive)",80,48.535
"NM","managed (intensive)",90,51.672
"NM","managed (intensive)",100,55
"NV","managed (intensive)",0,0
"NV","managed (intensive)",10,1.999
"NV","managed (intensive)",20,3.696
"NV","managed (intensive)",30,5.192
"NV","managed (intensive)",40,6.691
"NV","managed (intensive)",50,8.169
"NV","managed (intensive)",60,9.461
"NV","managed (intensive)",70,10.725
"NV","managed (intensive)",80,11.994
"NV","managed (intensive)",90,12.99
"NV","managed (intensive)",100,13.92
"NY","managed (intensive)",0,0
"NY","managed (intensive)",10,54.032
"NY","managed (intensive)",20,92.048
"NY","managed (intensive)",30,123.562
"NY","managed (intensive)",40,152.291
"NY","managed (intensive)",50,169.215
"NY","managed (intensive)",60,187.856
"NY","managed (intensive)",70,204.928
"NY","managed (intensive)",80,217.519
"NY","managed (intensive)",90,227.509
"NY","managed (intensive)",100,235.474
"OH","managed (intensive)",0,0
"OH","managed (intensive)",10,18.805
"OH","managed (intensive)",20,32.875
"OH","managed (intensive)",30,54.644
"OH","managed (intensive)",40,68.297
"OH","managed (intensive)",50,74.671
"OH","managed (intensive)",60,84.489
"OH","managed (intensive)",70,92.661
"OH","managed (intensive)",80,97.731
"OH","managed (intensive)",90,100.249
"OH","managed (intensive)",100,104.075
"OK","managed (intensive)",0,0
"OK","managed (intensive)",10,20.233
"OK","managed (intensive)",20,31.352
"OK","managed (intensive)",30,41.648
"OK","managed (intensive)",40,49.644
"OK","managed (intensive)",50,54.165
"OK","managed (intensive)",60,57.604
